Site,Year,Max,Mean,Min,filled,Seas,SiteYr,SiteSeas,SiteYrSeas,Max.anom,Min.anom,Mean.anom
C1,1979,5.548913043,-0.4475,-6.444456522,0,spring,C1_1979,C1_spring,C1_1979_spring,1.035166925,-0.501215062,0.267239907
D1,1979,-3.989130435,-7.60326087,-11.2173913,0,spring,D1_1979,D1_spring,D1_1979_spring,-1.559972826,-1.695815217,-1.627872671
NOAA,1979,15.81315217,9.522934783,3.232608696,0,spring,NOAA_1979,NOAA_spring,NOAA_1979_spring,-0.109681677,0.619002329,0.254790373
A1,1980,10.48160878,4.928425096,-0.624758583,1,spring,A1_1980,A1_spring,A1_1980_spring,-0.767322575,0.197542186,-0.285530723
B1,1980,8.378412542,2.865180403,-2.648051735,1,spring,B1_1980,B1_spring,B1_1980_spring,-0.701643983,0.07872504,-0.312693944
C1,1980,4.003586957,-1.444021739,-6.891630435,0,spring,C1_1980,C1_spring,C1_1980_spring,-0.510159161,-0.948388975,-0.729281832
D1,1980,-3.580108696,-6.28923913,-8.998586957,0,spring,D1_1980,D1_spring,D1_1980_spring,-1.150951087,0.52298913,-0.313850932
NOAA,1980,14.8851087,8.180978261,1.475652174,0,spring,NOAA_1980,NOAA_spring,NOAA_1980_spring,-1.037725155,-1.137954193,-1.087166149
A1,1981,11.93991742,6.132424716,0.32493201,1,spring,A1_1981,A1_spring,A1_1981_spring,0.690986072,1.147232778,0.918468897
B1,1981,9.808729263,4.037101475,-1.734526313,1,spring,B1_1981,B1_spring,B1_1981_spring,0.728672738,0.992250462,0.859227128
C1,1981,5.434782609,-0.163043478,-5.760869565,0,spring,C1_1981,C1_spring,C1_1981_spring,0.921036491,0.182371894,0.551696429
D1,1981,-2.815217391,-6.374891304,-9.934673913,0,spring,D1_1981,D1_spring,D1_1981_spring,-0.386059783,-0.413097826,-0.399503106
NOAA,1981,17.03326087,10.47663043,3.919565217,0,spring,NOAA_1981,NOAA_spring,NOAA_1981_spring,1.110427019,1.305958851,1.208486025
A1,1982,10.27690227,4.200707615,-1.875487041,1,spring,A1_1982,A1_spring,A1_1982_spring,-0.972029079,-1.053186273,-1.013248204
B1,1982,8.104371587,2.066352059,-3.97166747,1,spring,B1_1982,B1_spring,B1_1982_spring,-0.975684938,-1.244890695,-1.111522288
C1,1982,3.717391304,-1.717391304,-7.152173913,0,spring,C1_1982,C1_spring,C1_1982_spring,-0.796354814,-1.208932453,-1.002651398
D1,1982,-6.423913043,-10.23369565,-14.04347826,0,spring,D1_1982,D1_spring,D1_1982_spring,-3.994755435,-4.521902174,-4.258307453
NOAA,1982,17.03119565,9.742173913,2.452173913,0,spring,NOAA_1982,NOAA_spring,NOAA_1982_spring,1.108361801,-0.161432453,0.474029503
A1,1983,7.647340267,2.179925997,-3.287488273,1,spring,A1_1983,A1_spring,A1_1983_spring,-3.601591084,-2.465187505,-3.034029822
B1,1983,5.530451416,0.082271116,-5.365909184,1,spring,B1_1983,B1_spring,B1_1983_spring,-3.549605109,-2.639132409,-3.095603231
C1,1983,0.315217391,-4.913043478,-10.14130435,0,spring,C1_1983,C1_spring,C1_1983_spring,-4.198528727,-4.198062888,-4.198303571
D1,1983,-6.790434783,-10.17228261,-13.55434783,0,spring,D1_1983,D1_spring,D1_1983_spring,-4.361277174,-4.032771739,-4.19689441
NOAA,1983,13.07815217,7.0375,0.99673913,0,spring,NOAA_1983,NOAA_spring,NOAA_1983_spring,-2.844681677,-1.616867236,-2.23064441
A1,1984,9.840170977,3.84909368,-2.141983617,1,spring,A1_1984,A1_spring,A1_1984_spring,-1.408760374,-1.319682848,-1.364862139
B1,1984,7.698977846,1.743511997,-4.211953852,1,spring,B1_1984,B1_spring,B1_1984_spring,-1.381078679,-1.485177077,-1.43436235
C1,1984,3.510869565,-2.22826087,-7.967391304,0,spring,C1_1984,C1_spring,C1_1984_spring,-1.002876553,-2.024149845,-1.513520963
D1,1984,-5.989130435,-9.369565217,-12.75,0,spring,D1_1984,D1_spring,D1_1984_spring,-3.559972826,-3.228423913,-3.394177019
NOAA,1984,15.59902174,8.495652174,1.39173913,0,spring,NOAA_1984,NOAA_spring,NOAA_1984_spring,-0.323812112,-1.221867236,-0.772492236
A1,1985,11.25606251,5.259516992,-0.737028526,1,spring,A1_1985,A1_spring,A1_1985_spring,0.007131159,0.085272243,0.045561173
B1,1985,9.091483577,3.142265771,-2.806952035,1,spring,B1_1985,B1_spring,B1_1985_spring,0.011427052,-0.08017526,-0.035608576
C1,1985,4.217391304,-1.375,-6.967391304,0,spring,C1_1985,C1_spring,C1_1985_spring,-0.296354814,-1.024149845,-0.660260093
D1,1985,-4.423913043,-7.847826087,-11.27173913,0,spring,D1_1985,D1_spring,D1_1985_spring,-1.994755435,-1.750163043,-1.872437888
NOAA,1985,17.63532609,10.42445652,3.21326087,0,spring,NOAA_1985,NOAA_spring,NOAA_1985_spring,1.712492236,0.599654503,1.156312112
A1,1986,12.19251169,6.300040639,0.407569592,1,spring,A1_1986,A1_spring,A1_1986_spring,0.943580336,1.229870361,1.08608482
B1,1986,10.04317428,4.200548838,-1.642076607,1,spring,B1_1986,B1_spring,B1_1986_spring,0.963117759,1.084700168,1.022674491
C1,1986,4.673913043,-0.891304348,-6.456521739,0,spring,C1_1986,C1_spring,C1_1986_spring,0.160166925,-0.51328028,-0.176564441
D1,1986,-2.195652174,-5.576086957,-8.956521739,0,spring,D1_1986,D1_spring,D1_1986_spring,0.233505435,0.565054348,0.399301242
NOAA,1986,17.96141304,11.00434783,4.046521739,0,spring,NOAA_1986,NOAA_spring,NOAA_1986_spring,2.038579193,1.432915373,1.736203416
A1,1987,13.13437586,6.978276289,0.822176715,1,spring,A1_1987,A1_spring,A1_1987_spring,1.885444513,1.644477483,1.76432047
B1,1987,11.03587699,4.914562807,-1.206751375,1,spring,B1_1987,B1_spring,B1_1987_spring,1.955820463,1.5200254,1.73668846
C1,1987,6.976304348,0.978695652,-5.018804348,0,spring,C1_1987,C1_spring,C1_1987_spring,2.46255823,0.924437112,1.693435559
D1,1987,-0.413043478,-4.320652174,-8.22826087,0,spring,D1_1987,D1_spring,D1_1987_spring,2.01611413,1.293315217,1.654736025
NOAA,1987,16.90043478,10.00826087,3.116086957,0,spring,NOAA_1987,NOAA_spring,NOAA_1987_spring,0.977600932,0.50248059,0.74011646
A1,1988,11.80554348,5.494565217,-0.816413043,0,spring,A1_1988,A1_spring,A1_1988_spring,0.556612128,0.005887725,0.280609399
B1,1988,9.855217391,3.22673913,-3.401847826,0,spring,B1_1988,B1_spring,B1_1988_spring,0.775160866,-0.675071051,0.048864783
C1,1988,6.510869565,-0.342391304,-7.195652174,0,spring,C1_1988,C1_spring,C1_1988_spring,1.997123447,-1.252410714,0.372348602
D1,1988,-1.391304348,-5.668478261,-9.945652174,0,spring,D1_1988,D1_spring,D1_1988_spring,1.037853261,-0.424076087,0.306909938
NOAA,1988,18.12801932,10.21437198,2.300724638,0,spring,NOAA_1988,NOAA_spring,NOAA_1988_spring,2.205185473,-0.312881729,0.946227571
A1,1989,13.50304348,7.058369565,0.613695652,0,spring,A1_1989,A1_spring,A1_1989_spring,2.254112128,1.435996421,1.844413746
B1,1989,11.4473913,5.185543478,-1.076195652,0,spring,B1_1989,B1_spring,B1_1989_spring,2.367334779,1.650581123,2.007669131
C1,1989,8.445652174,2.180326087,-4.085,0,spring,C1_1989,C1_spring,C1_1989_spring,3.931906056,1.85824146,2.895065994
D1,1989,-0.77173913,-4.548913043,-8.326086957,0,spring,D1_1989,D1_spring,D1_1989_spring,1.657418478,1.19548913,1.426475155
NOAA,1989,19.10628019,10.98731884,2.868357488,0,spring,NOAA_1989,NOAA_spring,NOAA_1989_spring,3.183446342,0.254751121,1.719174431
A1,1990,11.46456522,5.186956522,-1.090978261,0,spring,A1_1990,A1_spring,A1_1990_spring,0.215633867,-0.268677492,-0.026999297
B1,1990,9.334347826,3.046521739,-3.241413043,0,spring,B1_1990,B1_spring,B1_1990_spring,0.254291301,-0.514636269,-0.131352608
C1,1990,6.967391304,0.429347826,-6.108695652,0,spring,C1_1990,C1_spring,C1_1990_spring,2.453645186,-0.165454193,1.144087733
D1,1990,-1.782608696,-5.39673913,-9.010869565,0,spring,D1_1990,D1_spring,D1_1990_spring,0.646548913,0.510706522,0.578649068
NOAA,1990,NA,NA,NA,NA,spring,NOAA_1990,NOAA_spring,NOAA_1990_spring,NA,NA,NA
A1,1991,12.07934783,5.960326087,-0.158695652,0,spring,A1_1991,A1_spring,A1_1991_spring,0.830416476,0.663605116,0.746370268
